Frequency (Hz)	Level (dB)
5232.568359	-31.733280
5243.334961	-30.826342
5254.101562	-30.680677
5264.868164	-31.462420
5275.634766	-32.889755
5286.401367	-34.364540
5297.167969	-35.814407
5307.934570	-36.815948
5318.701172	-36.107655
5329.467773	-34.379902
5340.234375	-33.794636
5351.000977	-34.436214
5361.767578	-35.308937
5372.534180	-36.666546
5383.300781	-38.374210
5394.067383	-39.352345
5404.833984	-41.009445
5415.600586	-43.247608
5426.367188	-43.939529
5437.133789	-43.061569
5447.900391	-40.343838
5458.666992	-38.289673
5469.433594	-37.444443
5480.200195	-36.811367
5490.966797	-36.701221
5501.733398	-37.280605
5512.500000	-38.902233
5523.266602	-40.296806
5534.033203	-39.293877
5544.799805	-37.197998
5555.566406	-35.319668
5566.333008	-35.460358
5577.099609	-38.327358
5587.866211	-42.580517
5598.632812	-46.939342
5609.399414	-48.924606
5620.166016	-48.306484
5630.932617	-47.195427
5641.699219	-44.831390
5652.465820	-41.939083
5663.232422	-40.859180
5673.999023	-39.909416
5684.765625	-37.171173
5695.532227	-35.534569
5706.298828	-36.180336
5717.065430	-37.016342
5727.832031	-37.426796
5738.598633	-38.903282
5749.365234	-40.193161
5760.131836	-39.815907
5770.898438	-38.161369
5781.665039	-37.165264
5792.431641	-37.068233
5803.198242	-37.262165
5813.964844	-37.881622
5824.731445	-39.598122
5835.498047	-41.529709
5846.264648	-41.942017
5857.031250	-39.293140
5867.797852	-35.570976
5878.564453	-34.242016
5889.331055	-34.963848
5900.097656	-35.500561
5910.864258	-35.334160
5921.630859	-35.097828
5932.397461	-35.129532
5943.164062	-34.857456
5953.930664	-35.130009
5964.697266	-35.189274
5975.463867	-36.141396
5986.230469	-37.301342
5996.997070	-36.078247
6007.763672	-35.487865
6018.530273	-35.321583
6029.296875	-35.021603
6040.063477	-35.392822
6050.830078	-36.677319
6061.596680	-38.190971
6072.363281	-40.864708
6083.129883	-43.264198
6093.896484	-43.943596
6104.663086	-43.269852
6115.429688	-44.432812
6126.196289	-44.226620
6136.962891	-41.834972
6147.729492	-40.563431
6158.496094	-40.640743
6169.262695	-42.886459
6180.029297	-46.981987
6190.795898	-46.902321
6201.562500	-44.443081
6212.329102	-42.069412
6223.095703	-40.250587
6233.862305	-38.442535
6244.628906	-36.785950
6255.395508	-36.566456
6266.162109	-37.182819
6276.928711	-38.794903
6287.695312	-41.897110
6298.461914	-45.034649
6309.228516	-44.705105
6319.995117	-39.973011
6330.761719	-36.283718
6341.528320	-34.772133
6352.294922	-35.587955
6363.061523	-38.142731
6373.828125	-39.431385
6384.594727	-38.101887
6395.361328	-36.966896
6406.127930	-36.077961
6416.894531	-35.667088
6427.661133	-35.572426
6438.427734	-35.572395
6449.194336	-36.398148
6459.960938	-36.242996
6470.727539	-34.923820
6481.494141	-34.769108
6492.260742	-36.394676
6503.027344	-39.168278
6513.793945	-41.567680
6524.560547	-44.206200
