Frequency (Hz)	Level (dB)
1173.559570	-36.744087
1184.326172	-37.046875
1195.092773	-39.567505
1205.859375	-42.992695
1216.625977	-44.033619
1227.392578	-41.011490
1238.159180	-39.514854
1248.925781	-40.590244
1259.692383	-43.044216
1270.458984	-43.091503
1281.225586	-41.471878
1291.992188	-40.341396
1302.758789	-38.557323
1313.525391	-37.844135
1324.291992	-36.733646
1335.058594	-33.983112
1345.825195	-32.949539
1356.591797	-32.869919
1367.358398	-32.336060
1378.125000	-31.669102
1388.891602	-30.920124
1399.658203	-31.418501
1410.424805	-34.217056
1421.191406	-37.365742
1431.958008	-35.599583
1442.724609	-33.389202
1453.491211	-32.838127
1464.257812	-31.908596
1475.024414	-29.621243
1485.791016	-28.584007
1496.557617	-29.045055
1507.324219	-30.242990
1518.090820	-31.516644
1528.857422	-32.937965
1539.624023	-34.307526
1550.390625	-33.453320
1561.157227	-31.458136
1571.923828	-30.297592
1582.690430	-29.944578
1593.457031	-29.908396
1604.223633	-30.291691
1614.990234	-30.547722
1625.756836	-29.661215
1636.523438	-29.823620
1647.290039	-30.101187
1658.056641	-30.412725
1668.823242	-31.082767
1679.589844	-31.617754
1690.356445	-31.942415
1701.123047	-31.604717
1711.889648	-30.862097
1722.656250	-30.398233
1733.422852	-30.983248
1744.189453	-32.752285
1754.956055	-34.270008
1765.722656	-32.254116
1776.489258	-29.660763
1787.255859	-28.348461
1798.022461	-28.348953
1808.789062	-28.916546
1819.555664	-29.577797
1830.322266	-29.970806
1841.088867	-29.544600
1851.855469	-29.035181
1862.622070	-28.367201
1873.388672	-28.126797
1884.155273	-28.126175
1894.921875	-28.039875
1905.688477	-27.918581
1916.455078	-27.599970
1927.221680	-27.327377
1937.988281	-27.398434
1948.754883	-28.007015
1959.521484	-29.477510
1970.288086	-31.359253
1981.054688	-32.675205
1991.821289	-32.098160
2002.587891	-30.253372
2013.354492	-28.121471
2024.121094	-26.598276
2034.887695	-26.055693
2045.654297	-26.733402
2056.420898	-28.590092
2067.187500	-30.605576
2077.954102	-30.946524
2088.720703	-30.641014
2099.487305	-31.038219
2110.253906	-31.628378
2121.020508	-30.314548
2131.787109	-29.093149
2142.553711	-29.158995
2153.320312	-29.226570
2164.086914	-28.796738
2174.853516	-28.000452
2185.620117	-27.852411
2196.386719	-28.713285
2207.153320	-30.183857
2217.919922	-31.702675
2228.686523	-30.606815
2239.453125	-28.541533
2250.219727	-27.345572
2260.986328	-27.063070
2271.752930	-27.859327
2282.519531	-29.195934
2293.286133	-29.548124
2304.052734	-28.553595
2314.819336	-27.539793
2325.585938	-26.600206
2336.352539	-25.968824
2347.119141	-25.203079
2357.885742	-24.531141
2368.652344	-24.747267
2379.418945	-25.380354
2390.185547	-25.475847
2400.952148	-25.447176
2411.718750	-25.641369
2422.485352	-26.380535
2433.251953	-27.615889
2444.018555	-27.240133
2454.785156	-26.375019
2465.551758	-27.008484
2476.318359	-28.115013
2487.084961	-27.954727
2497.851562	-26.907209
2508.618164	-27.075237
2519.384766	-27.242630
2530.151367	-26.360973
2540.917969	-25.996635
2551.684570	-26.017485
2562.451172	-26.142946
2573.217773	-25.628475
2583.984375	-25.461531
2594.750977	-25.404856
2605.517578	-25.883560
2616.284180	-26.929029
2627.050781	-29.390818
2637.817383	-32.739246
2648.583984	-32.667526
2659.350586	-31.258030
2670.117188	-30.164257
2680.883789	-30.155043
2691.650391	-30.991499
2702.416992	-30.010715
2713.183594	-27.447519
2723.950195	-27.108204
2734.716797	-28.261581
2745.483398	-27.988642
2756.250000	-27.815695
2767.016602	-29.831718
2777.783203	-33.494862
2788.549805	-31.925865
2799.316406	-28.566563
2810.083008	-26.644678
2820.849609	-26.501781
2831.616211	-26.858528
2842.382812	-27.972185
2853.149414	-29.534651
2863.916016	-30.164339
2874.682617	-30.709995
2885.449219	-30.604368
2896.215820	-28.542883
2906.982422	-26.263504
2917.749023	-24.988556
2928.515625	-25.486120
2939.282227	-26.385935
2950.048828	-25.809919
2960.815430	-25.814819
2971.582031	-26.593540
2982.348633	-28.053179
