Frequency (Hz)	Level (dB)
10658.935547	-40.624790
10669.702148	-40.649681
10680.468750	-41.055370
10691.235352	-41.909725
10702.001953	-42.124569
10712.768555	-41.708588
10723.535156	-40.975040
10734.301758	-40.689896
10745.068359	-40.939102
10755.834961	-41.274113
10766.601562	-41.803474
10777.368164	-41.991806
10788.134766	-41.957214
10798.901367	-42.907139
10809.667969	-42.863262
10820.434570	-41.523304
10831.201172	-40.807755
10841.967773	-40.466831
10852.734375	-40.408817
10863.500977	-40.862240
10874.267578	-41.918465
10885.034180	-42.905281
10895.800781	-43.649780
10906.567383	-44.051643
10917.333984	-44.170364
10928.100586	-44.776707
10938.867188	-45.193161
10949.633789	-45.382607
10960.400391	-44.932400
10971.166992	-44.284073
10981.933594	-44.823402
10992.700195	-46.485516
11003.466797	-47.414776
11014.233398	-46.863441
11025.000000	-45.946381
11035.766602	-45.080433
11046.533203	-44.597790
11057.299805	-43.806168
11068.066406	-44.001743
11078.833008	-45.042999
11089.599609	-45.365738
11100.366211	-45.310284
11111.132812	-46.095074
11121.899414	-47.655067
11132.666016	-48.772514
11143.432617	-49.527695
11154.199219	-50.036034
11164.965820	-49.149647
11175.732422	-48.265995
11186.499023	-47.834229
11197.265625	-46.886711
11208.032227	-46.250957
11218.798828	-46.575363
11229.565430	-47.476540
11240.332031	-48.667145
11251.098633	-49.572308
11261.865234	-49.315594
11272.631836	-49.590900
11283.398438	-50.682659
11294.165039	-51.005711
11304.931641	-50.477238
11315.698242	-50.232426
11326.464844	-51.089367
11337.231445	-51.936001
11347.998047	-50.745857
11358.764648	-49.985313
11369.531250	-49.634575
11380.297852	-49.271633
11391.064453	-48.789841
11401.831055	-49.134506
11412.597656	-49.411861
11423.364258	-48.752430
11434.130859	-48.520718
11444.897461	-48.797264
11455.664062	-48.654217
11466.430664	-48.384651
11477.197266	-48.005283
11487.963867	-47.632740
11498.730469	-48.066895
11509.497070	-49.053185
11520.263672	-49.846130
11531.030273	-49.044106
11541.796875	-48.345646
11552.563477	-49.117462
11563.330078	-50.642166
11574.096680	-51.767315
11584.863281	-52.409527
11595.629883	-53.145092
11606.396484	-53.476463
11617.163086	-52.396240
11627.929688	-51.509380
11638.696289	-51.899742
11649.462891	-53.311203
11660.229492	-55.185810
11670.996094	-56.702671
11681.762695	-57.085011
11692.529297	-55.289799
11703.295898	-52.797318
11714.062500	-51.415051
11724.829102	-51.287132
11735.595703	-51.754295
11746.362305	-52.296944
11757.128906	-53.540951
11767.895508	-54.114391
11778.662109	-54.497211
11789.428711	-54.810905
11800.195312	-54.296646
11810.961914	-53.747047
11821.728516	-52.698212
11832.495117	-51.774826
11843.261719	-51.655560
11854.028320	-51.726383
11864.794922	-52.356819
11875.561523	-53.708607
11886.328125	-54.410767
11897.094727	-55.679031
11907.861328	-56.728836
11918.627930	-54.957195
11929.394531	-52.875259
11940.161133	-52.548191
11950.927734	-52.800018
11961.694336	-52.817463
11972.460938	-53.268948
11983.227539	-53.752769
11993.994141	-53.709068
12004.760742	-53.653931
12015.527344	-53.421600
12026.293945	-54.130375
12037.060547	-56.298573
12047.827148	-57.904423
12058.593750	-56.177593
12069.360352	-53.838936
12080.126953	-52.880421
12090.893555	-53.550617
12101.660156	-54.829948
12112.426758	-56.224545
12123.193359	-56.990631
12133.959961	-56.321110
12144.726562	-55.075119
12155.493164	-53.359360
12166.259766	-52.586555
12177.026367	-53.144470
12187.792969	-54.358437
12198.559570	-55.624020
12209.326172	-55.934998
12220.092773	-54.683331
12230.859375	-53.671692
12241.625977	-52.895744
12252.392578	-51.827862
12263.159180	-51.371078
12273.925781	-52.037476
12284.692383	-52.939663
12295.458984	-53.115307
12306.225586	-53.753910
12316.992188	-54.152149
12327.758789	-54.708401
12338.525391	-56.020569
12349.291992	-57.039467
12360.058594	-57.514015
12370.825195	-56.702343
12381.591797	-55.417019
12392.358398	-55.027199
12403.125000	-55.718426
12413.891602	-57.508942
12424.658203	-58.178978
12435.424805	-56.829174
12446.191406	-54.786701
12456.958008	-52.870998
12467.724609	-52.158348
12478.491211	-52.022949
12489.257812	-52.192623
12500.024414	-53.332367
12510.791016	-54.011673
12521.557617	-54.681995
12532.324219	-56.038918
12543.090820	-56.533875
12553.857422	-55.555534
12564.624023	-54.931721
12575.390625	-55.309544
12586.157227	-55.399414
12596.923828	-54.633900
